article;lang
το σιερι σου τερκαζει τοσο καλα με το;cypr
δικο μου τζιαι επεσαν μαζι αγκαλια Το;cypr
πρωι εξυπνησαν και εκαμεν του εναν;cypr
πολλα αργο ερωτα τζιαι μετα ηπιαν το;cypr
φραπε τους παστην βεραντα Εν επιε;cypr
κανενας που τους 2 δουλεια τζιαι επιαν;cypr
Αγια Ναπα παραλια;cypr
 Ετσι εξεκινησε σιγα σιγα ενας πολλα;cypr
μεγαλος ερωτας ζηλευτος Λιγοι εξεραν;cypr
επισημα οτι εν μαζι τα παιθκια αλλα αν;cypr
εθορες καλα εμπορουσες να το δεις στον;cypr
τροπο που ακομπουσαν τυχαια διπλα που;cypr
εκοιταζουνταν Ηταν ο ενας ο κοσμος του;cypr
αλλου εν υπηρχε τιποτε αλλο Οι δουλιες;cypr
του παπα του Μιχαλη επιεναν καλυτερα;cypr
απο ποτε τζιαι ο Μανωλης επεταν στο;cypr
γραφειο Εμετακομισαν μαζι σε καποιαν;cypr
φαση Ο Μανωλης μονιμα τζιαμε τζιαι ο;cypr
Μιχαλης επερναν τισ παραπανω νυχτες;cypr
τζιαμε αν τζιαι επισημα εμινισκεν ακομα;cypr
στους γονεις του;cypr
 Μετα επιαν 3ημερο στη Μυκονο 2ημερο;cypr
στην Αθηνα 4ημερο στην Παρο επιαν;cypr
Λονδινο Παρισι Ρωμη Νεαν Υορκη;cypr
Βραζιλια τζιαι Κουβα μαζι Ο Μανωλης;cypr
ομορφησεν επαστυνεν τζιαι ο Μιχαλης;cypr
εβαλεν 3 4 κιλουθκια τζιαι εμαλαθκιανεν;cypr
η φατσα του Εσασαν σπιτι μαζι Οργανωναν;cypr
νυχτες για την παρεα τζιαι ηταν πολα;cypr
αγαπημενοι;cypr
 Πριν 2 βδομαδες εμαθα μεν οτι ο Μιχαλης;cypr
εκαμεν κερατα του Μανωλη με διαφορους;cypr
τα 4 χρονια της σχεσης τους Αφηκεν ο;cypr
Μιχαλης ανοιχτο το ημειλ του τζιαι;cypr
εμπικεν ο Μανωλης και ηβρε μηνυματα που;cypr
το κρυφο γκεινταρ προφιλ του Μιχαλη;cypr
Τουλαχιστον 100 που τα τελευταια 4 χρονια;cypr
Επαραδεκτικεν τα ουλλα ο Μιχαλης Εν;cypr
εζητησε συγνωμη Ο Μανωλης κλαιει σε;cypr
εναν σπιτι που εννεν δικο του τζιαι εν;cypr
εχει σελινι φυλαμενο να μετακομισει;cypr
Εγω διω χαρτομαντηλα σε ενα ξενο;cypr
διαμερισμα τζιαι προσπαθω να τον;cypr
σταματησω να τρωει κιτ κατ συνεχεια;cypr
τζιαι να καπνισει ουλλην τη παραγωγη;cypr
μαλπορο λαιτ;cypr
 Ωραια Ο πριγκηπας μας εγινεν;cypr
βατραχος τζιαι εμεις κλαιμεν Σκατα;cypr
 2009 06 15 ce bc ce b9 ce b1 ce bc ce b5 cf 81 ce b1 ce bc ce b5 ce bc cf 85 ce b4 ce b9 ce b1 Eχω;cypr
προβλημα τελικα Κατι παει λαθος Φταει;cypr
και το γεγονος οι εχω πολυ χρονο;cypr
ελευθερο φυσικα Ειδα ονειρο τον;cypr
Ψυχοπαθη εχτες Οτι εκαμαμε σεξ;cypr
Απιστευτο σεξ Μολις εξυνπησα ενομισα;cypr
οτι εμπορουσα να τον μυρισω πανω μου;cypr
Ηπια καφε τζιαι εφερα καπως τα μιλια;cypr
μου αλλα σημερα εν ειχα τιποτε;cypr
σχεδιασμενο εχτος που το να φκω με τον;cypr
Αστροφυσικο για φαι Τελικα ο Αστροφυσικος;cypr
ακυρωσεν μου το με κατι ψεματακια;cypr
σημερα θα εφκενε με τον Τζιοναταν Η;cypr
μερα μου εξεκινησε αρκετα ασχημα;cypr
Ενιωθα παλε τζιντο πραμα μεστο στομαχι;cypr
μου για τον Ψυχοπαθη που εν ξερω αν;cypr
ειναι ταση για εμετο ή κατι χειροτερο;cypr
Εμφανιστηκεν ο Ψυχοπαθης στο msn τζιαι;cypr
για μια φορα εμιλησεν μου Λαλω του;cypr
 καλημερα ηλιε μου τζιε οταν με ρωτισε;cypr
γιατι τον λαλω ετσι ειπα του οτι εν;cypr
επειδη εν οπως τον ηλιο της πολης που;cypr
ειμαστε τωρα βλεπω τον σπανια αλλα εν;cypr
παντα υπεροχος τζιε γελασε τζιε μετα;cypr
εγραψε με φυσικα Τα κλασσικα;cypr
 Ε εκατσα τζιε γω μπροστα που την;cypr
πουτανα την τηλεοραση τζιαι εβλεπα;cypr
μαλακιες με την συγκατοικο τζιαι;cypr
εβαλα της Κοτσιρα Τσαλιγοπουλου;cypr
Πλιατσικα και Μαρινελλα τζιαι ενθουσιαστηκε;cypr
Εσιει πλακα να θωρεις μια ξενη να;cypr
ενθουσιαζετε με την Μαρινελλα;cypr
 Ετσι επερασε το απογευμα μου;cypr
Ηρεμα;cypr
 Μετα εμφανιστηκε ο Ραμανι Επιαν τον;cypr
η ορεξεις παλε τζιε ελαλεν μου τις;cypr
κλασσικες μαλακιες οτι ειμαι παραξενος;cypr
αλλα πολλα ενδιαφερον τζιαι εκαμεν μου;cypr
ψυχαναλυση Τελοσπαντων καμω υπομονη;cypr
γιατι θα παει πισω Φλωρεντια το Σαββατο;cypr
τζιε εν θα τον ξαναδω για εναν μηνα Και;cypr
παθαινει μαζι μου Τζιαι περσι το ιδιο;cypr
Οι ρε κουμπαρε θελω να ειμαστε φιλοι εν;cypr
θελω να καμουμε τιποτε παραπανω Ατου ο;cypr
Γαβρηλης παλε φετος Να οι σποντουες να;cypr
τα γλυκολογα ελα η αγκαλιτσες Τζιαι γω;cypr
να καμω υπομονη τζιε να σκεφτουμε οτι εν;cypr
ωρα να πιασω τα μπογαλακια μου τζαι να;cypr
παω στο Μαροκκο να δουλεψω λεωφοριατζης;cypr
Να με ρωτα για τον Ψυχοπαθη εν το μεταξυ;cypr
τζιε για τον Αστροφυσικο τζιε για τον;cypr
Γυμναστη αλλα ατου Εν ξερω πολλα;cypr
παραξενο πλασμα Θελει το μελι μου που;cypr
λαλει τζιε ο Κολλητος μου;cypr
 Ηρτα σπιτι Ο Αστροφυσικος χασιμιος;cypr
εστειλε μου μηνυμα καμιαν ωρα μετα τζιε;cypr
εκλωσεν Οι πως με κοφτει τζιε πολλα;cypr
αλλα ειχα ορεξη για φαι Ο γουελ Σπιτι;cypr
τηλεοραση μακαρονια με μυδια παρα;cypr
πολλα μυδια και μακαρονια ομως τζιε;cypr
μετα χαγκεν ντατς τζιε να θυμουμαι το;cypr
Γυμναστη να μου λαλει το παγωτο εν;cypr
θανατος χεχε Ο Γυμναστης εθελε να;cypr
βρεθουμε εγραψα τον βασικα γιατι;cypr
εφκηκα τζιε με εναν αλλον την προηγουμενη;cypr
βδομαδα εναν αλλο λιοτερον ωραιο αλλα;cypr
πολλα πιο βλακα που καμει τα πραματα πιο;cypr
απλα γιατι εν προκεται να τον ξαναδω;cypr
Πρεπει να κανονισω να φκω κανεναν;cypr
ραντεβου τουντην βδομαδα Αυριον εν η;cypr
μερα του Γυμναστη εν εχω ορεξη;cypr
ιδαιτερη να τον δω εν ξερω καν τι θελει;cypr
που μενα Εν καταλαβω πως ενας αντρας;cypr
αρκετα ωραιος ς με κορμαρα εφατζιθηκε;cypr
πανω μου Αλλα η κκελουα μας δυστυχως εν;cypr
πολλα στερεοτυπικη Πολλα οφκερη Ειμαι;cypr
γυμναστης τζιαι εν εχω ιδεα ιντα μπου;cypr
μου γινεται Ταυτοχρονα ομως προκαλει;cypr
μου κομπλεξ ο τυπας Ανιγουει;cypr
 2009 06 15 ce bf cf 88 cf 85 cf 87 ce bf cf 80 ce b1 ce b8 ce b7 cf 82 ce bf ce b1 cf 83 cf 84 cf 81 ce bf cf 86 cf 85 cf 83 ce b9 ce ba ce bf cf 82 ce b7 cf 80 ce b1 cf 81 ce b1 ce bb ce b9 ce b1 cf 84 Ηντα;cypr
ωραια Καθουμαι στο μπαλκονι μου τζιε;cypr
φυσα ενα τελειο καλοκαιρινο αερουι;cypr
Επερασα εναν πολλα πολλα ομορφο;cypr
σαββατοκυριακο Εχτες επηαμε με τον;cypr
Ψυχοπαθη θαλασσα σε ενα μικρο λιμανι;cypr
 οχι εν ειμαι Κυπρο που εν ειχα;cypr
κσαναπαει αν και μια φιλη μου μινισκει;cypr
σε τζιντο χωρκο Ο ψυχοπαθης εν;cypr
ερωτευμενος αγρια με καποιον αλλο αλλα;cypr
εν πολλα περιπλοκη κατασταση τζιε η;cypr
αδελφη του εσιει καρκινο Plus δουλευκει;cypr
που τις 9 το πρωι ως τις δεκα την νυχτα;cypr
Τις τελευταιες 2 βδομαδες ηταν πολλα;cypr
απομακρος και χαλια αλλα το σαββατο;cypr
επιασεν με τηλεφωνο ν αμε παρει θαλασσα;cypr
που μου ειχε υποσχεθει Ηρτεν τζιε;cypr
εμπορουσα να δω στα μαθκια του οτι εν;cypr
ηταν καλα οτι ο λεβεντης ο χαμογελαστος;cypr
που εγνωρισα ελειπεν τζιε στην θεση του;cypr
ηρτεν ενας αλλος νακκον μιζερος;cypr
γελαστος μεν αλλα χωρις τζιν την χαρα;cypr
που κολλας στα 3 λεπτα So yes Νομιζω;cypr
επιτελους αρκεψα να οριμαζω Εβαλα τον;cypr
εγωισμο μου κατω τα νευρα που ειχα μαζι;cypr
του τζιαι ειδα τα πραματα πως τα θωρει;cypr
τζινος τζιε πραγματικα ελυπηθηκα Εκαμα;cypr
οτι εμπορουσα για να ειμαι ευχαριστος;cypr
Εν εκαμα μουτρα εν εκαμα παραξενιες ως;cypr
τζιε παγωτον εφα για χαττιρι του χεχε;cypr
τζιε εκαμα οτι εμπορουσα για να περασει;cypr
καλα;cypr
 Τζιε οντως μετα που καμιαν αναμιση;cypr
ωρα αρκεψεν να γελα ελαλουν του;cypr
πελλαρες εν εσκασα βασικα οσπου τζιε;cypr
αρκεψεν να φυρνεται που το γελιο;cypr
ανεβασε τη μουσικη στο ραδιο τζιε;cypr
εκσικινησαμε να καμουμε γυρους στο;cypr
νησι Σε καποιαν φαση εφτασαμε στη;cypr
παραλια τζιε εγυρισεν τζιε ειδεν με;cypr
τζιε εκαταλαβα οτι ηταν να προτιμουσε;cypr
να εμοιραζετουν τουτην την στιγμη με;cypr
τον ερωτα του τζιε επονισα λλιο Αλλα;cypr
ακκασα τα χειλη μου τζιε επιατον τζιε;cypr
βουτισαμε στο νερο τζιε εβαλατον τζιε;cypr
κολυμπησαμε καμποσο Αφηκατον να με;cypr
πιασει αγκαλια μεστην θαλασσα τζιε;cypr
ακκασα τον παστον ωμο τζιε αρκεψε να;cypr
γελα τζιε να μου πετασσει νερα τζιε που;cypr
τζιντην ωρα ως την ωρα που καπου 6 ωρες;cypr
μετα εφερε με σπιτι εν εσταματισε να;cypr
γελα τζιε να παιζει Επιαμε σε ενα μικρο;cypr
χωριο μετα την παραλια τζιαμε κοντα;cypr
τζιε ειδαμε κατι αγαλματα τζιε εναν;cypr
απαισιο ποστερ του Ιησου που ανιγοκλεινει;cypr
τα μαθκια του τζιε εφιρτηκαμεν που το;cypr
γελιο Ειπεν μου πως το εισιεν καμει;cypr
δωρο σε μια φιλη του που βαλουν;cypr
διαγωνισμο ποιος θα καμει το πιο;cypr
απαισιο δωρο τζιε γω επεθανα του;cypr
γελιου;cypr
 Επιαμε για παγωτο που ηθελεν τζιε;cypr
εφαεν τζιε που το παγωτο μου τζιε ενιωθα;cypr
πολλα κοντα του Εφιλησεν με αφου φυσικα;cypr
εγινα shiros που το παγωτο τζιε τωρα;cypr
σκεφτουμαι εγω what comes first The movie or the;cypr
feeling Επερπατησαμεν αγκαλια στο λιμανι;cypr
τζιε σε καπια φαση εφιλησεν με τζιε πανω;cypr
στον ωμο που τα πιο ωραια φιλια εβερ;cypr
νομιζω εν τοσον intimate Επηαμε για;cypr
ψαριν σε μια ταβερνουα τζιε σε καπια;cypr
φαση ειδα τον να αλλασει εμεινεν;cypr
εθωρεν με τζιε ειπεν μου ποσο γλυκος;cypr
τζιε καλος ανθρωπος ειμαι τζιε οτι;cypr
φκαλω του κατι απιστευτα ευγενικο τζιε;cypr
ομορφο τζιε οτι νιωθει ποσο πολλα θελει;cypr
να με αγγαλιαζει τζιε να με προστατευει;cypr
τζιε ειπεν μου την κλασσικη του ατακα;cypr
 παντρεψου με μετακομισε δαμε καμε;cypr
οικογενεια μαζι μου Τουντην φορα ομως;cypr
εν τον εκοιταξα με το βλεμμα της;cypr
ερωτευμενης αγελαδας τζιε ειπα του οτι;cypr
αν θελει θα τον περιμενω την δευτερα στο;cypr
δημαρχειο Τζιε φυσικα εκομπλαρε αλλα;cypr
ταυτοχρονα εκαταλαβα οτι επονισε Εν;cypr
αλλοκοτο να εισαι ερωτευμενος με;cypr
καποιον οπως τζινος με τον Αντιζηλον;cypr
αλλα να ξερεις οτι καποιος αλλος εν το;cypr
ιδανικο σου ταιρι εγω ή κατι σαν εγω;cypr
τελοσπαντων Τζιε βεβαια εγω εν μπορω;cypr
να με δω μαζι του για μια ζωη τουλαχιστον;cypr
οχι δαμε;cypr
 Τεσπα μετα αλλος περιπατος γελιο;cypr
αγγαλιες τα φιλια του ηταν απλα ουλλον;cypr
αναγκη εντελως εγωιστικη εχριαζετουν;cypr
να νιωσει ποθητος τζιε σιγουρος για;cypr
καποιον Εδωκα του το Ειπα του για αλλη;cypr
μια φορα ποσο πολλα τον συμπαθω ως;cypr
ανθρωπο πως παρολο που τον ξερω λλιον;cypr
τζιερω νιωθω μιαν αναγκη για τζινον που;cypr
εν ειναι ερωτικη γιατι τζινος εν μπορει;cypr
τζιε γω εν θελω Οταν επαρκαρε σπιτι μου;cypr
λαλει μου εν ακομα σπασμενη η καρδια;cypr
μου Θωρω τον εγω τζιε λαλω του καπως;cypr
πιο λλιο που πριν τζιε αγκαλιαζε με;cypr
τζιε λαλει μου οχι αλλα τουλαχιστον;cypr
τωρα ειμαι σιουρος οτι σιγα σιγα εννα;cypr
περασει Τζιε εχαμογελασεν μου Ηταν;cypr
αρκετο νομιζω Τζιε βοηθα με να ξεπερασω;cypr
το γεγονος οτι δεν μπορο να ειμαι μαζι;cypr
του γιατι φευφκω που δαμε σε 2 μηνες;cypr
Τουλαχιστον τουντην φορα που ακουσα το;cypr
Chan Chan που Compay Segundo εν εφανταστηκα να το;cypr
χορευκω μαζι του τζιε εν εγεμωσαν τα;cypr
μαθκια μου οπως το βλημμα Εχαρηκα που;cypr
ημουν μαζι του Εκλεισα το κινητο;cypr
εγραψα τους ουλλους τζιε απαγορεψα τον;cypr
να μου μιλησει για δουλειες ή για;cypr
καποιον αλλον εχτος που τον Αντιζηλον;cypr
Ειπα του στην παραλια οτι παντα αμαν;cypr
ειμαι με καποιον καπου αρεσκει μου να;cypr
φανταζομαι οτι εν υπαρχει ο υπολοιπος;cypr
κοσμος οτι που πανω μου τζιε που πανω;cypr
του εσιει εναν θολο τζιε για οσες ωρες;cypr
ειμαστε μαζι ειμαστε immune που τους;cypr
υπολοιπους Τζιε αρεσεν του τζιε γελαν;cypr
τζιε σε καπια φαση επεταχτηκαν οι;cypr
μυξουες του ποξω τζιε γω εσκουπησα του;cypr
τες τζιε χασκογελουν Τζιε ενιωσα τζιε;cypr
καλα που εκαμα εναν πολλα καλο ανθρωπο;cypr
να γελασει τζιε να ξηασει λλιο τον καμο;cypr
της αρφης του τζιε μιας ζωης που εν;cypr
εθκιαλεξε αλλα βασανιζει τον Εκαμα;cypr
υπνον γλυκο τζιε βαθυν;cypr
 Σημερα Κυριακη ηταν τα γενεθλια του;cypr
Αστροφυσικου τζιε παρολο που την;cypr
Παρασκευη την νυχταν αποφασισεν να μου;cypr
πει οτι θελει να ημαστεν απλα φιλοι τζιε;cypr
εγυρισεν τζιε ειπε μου θελω να ειμαστε;cypr
απλα φιλοι γιατι αρεσκουν μου αλλοι;cypr
παραπανω ειπα να τον δω Εστειλε μου;cypr
μηνυμα στα γενεθλια του τζιε ελυπηθηκα;cypr
να τον αφηκω μονον του στα γενεθλια του;cypr
Τελικα ειχε παρεα απλα εθελε να περασει;cypr
τη μερα μαζι μου Ενιγουεις ακκασα τζιε;cypr
τζιαμε τα χειλη μου τζιε λαλω ατε ας;cypr
παει στο καλο εν τα γενεθλια του κρυψε;cypr
Επιασα τον τηλεφωνο να του πω τα χρονια;cypr
πολλα τζιε ειπεν μου να βρεθουμεν για;cypr
καφε κατω που το σπιτι μου Εσαστικα εγω;cypr
χαλαρα χαλαρα ηρτεν τζιε ειπαμεν να;cypr
παμεν για καφε Στην πολη εισιεν κατι;cypr
ωραιο σημερα αλλα εν ειχα τη καμερα μου;cypr
γαμωτο Ειχαν καμει σχεδια που λουλουδια;cypr
με χρωματιστη αμμο σε ολη την κυρια;cypr
λεωφορο τζιε επιαμεν τζιε ειδαμεν τα;cypr
Εθκιανεφτηκαμε στη παλια την πολη Στην;cypr
πλατεια της εκλησιας ειχε τζιε εκθεση;cypr
βιβλιου;cypr
 Ηρτεν μου τζιε τουτος λιον down τζιε;cypr
επηρα τον για καφε στην αγαπημενη μου;cypr
καφετερια τζιε ελαλουσα του μαλακιες με;cypr
τα ομολογουμενως πτωχα ιταλικα μου για;cypr
να γελασει Ηβραμε τζιε κατι αλλες;cypr
Ιταλιδες τζιε επιαμε τη παρλα εγω;cypr
κυριως εγελουσα στα σωστα σημεια χεχε;cypr
Η καφετερια καμει εναν απιστευτο τσαι;cypr
τιραμισου ασχετο Τεσπα εχαλαρωσεν;cypr
τζιε τζινος τζιε επηρατον στο φουρνο;cypr
τζιε επιασαμεν birthday paraphernalia για;cypr
φοιτητες βλ Ταρτουες ατομικες τζιε;cypr
τζιερουθκια Εσβησαμεντα μαζι τζιε;cypr
εγελασαμεν καμποσο Μετα εκατσαμε;cypr
λλιο στη τηλεοραση τζιε ηρτεν ο Τζιαπα ο;cypr
συνκατοικος να δη τζιε τζινος τζιε;cypr
επιαν τον οι δαιμονες που μας εβλεπε;cypr
αγκαλιασμενους πας τον καναπε Μετα;cypr
επηρα τον να φαει μεξανικα που εν ειχε;cypr
ξαναφαει τζιε εμαθα του το αρτ οφ;cypr
τυλιγειν φαχιτας Τζιε επηεν η μερα μας;cypr
Ακυρωσεν κατι γνωστους που θα θωρε τζιε;cypr
ηρτεν σπιτι μου απλωσε πανω μου τζιε;cypr
εκαμαμεν αγκαλιες για κανεναν 3ωρο Σε;cypr
καποιοα φαση φιλαμε τζιε τζινος αλλα;cypr
παλε χωρις τιποτε ερωτικο τζιε λαλει;cypr
μου εσενα πρεπει αν σε παντρευτω;cypr
τελικα Χαχα Τζιοιν δε λιστ Eν καμποσο;cypr
παραξενος εν θελει λει να καμει σεξ;cypr
μαζι μου αλλα οτι περνουμε τελεια μαζι;cypr
τζιε οτι θελει πολλα τουντες γλυκιες;cypr
στιγμες μαζι μου Εεε επηρα τον τζιε;cypr
τζινον σπιτι μετα που ετζιμιθυκε πανω;cypr
μου τζιε εβασταν μου το σιεροθι σαν τον;cypr
3χρονο;cypr
 Τζιε εκαταληξα σε συμπερασμα Οτι;cypr
μεταξυ του Ψυχοπαθη που με περνει;cypr
τοπους τζιε μαθενει μου νεα πραματα του;cypr
Αστροφυσικου που μου δινει πολλην;cypr
στοργην τζιε φκενουμε συνεχεια τζιε;cypr
περνουμε πολλα ωραια τζιε του μιντ μπλουιν;cypr
occasional sex που καμω καθε βδομαδα με εναν;cypr
γυμναστη ε οσον τζιε να πεις αμαν;cypr
τους βαλεις μαζι εν ο τελειος γκομενος;cypr
 Ηδωμεν;cypr
 Mar Azul Cesaria Evora;cypr
 Chan Chan Compay Segundo;cypr
 Υ Γ χρειαζομαι καποιον να μου πει α;cypr
πως να βαλω φωτογραφιες παστο μπλογκ β;cypr
να καμω λινκς αλλα να εμφανιζεται μονο;cypr
μια λεξη Τζιε γενικα εν εχω ιδεα που;cypr
κομπιουτερς ορ HTTP;cypr
 ψυχοπαθης και ο Αντιζηλος βλεπε;cypr
upcoming posts;cypr
 Αστροφυσικος βλεπε short upcoming;cypr
posts;cypr
 2009 06 21 cf 86 cf 81 ce b1 cf 80 ce b5 cf 83 ce ba ce b5 cf 88 ce b5 ce b9 cf 82 ce ba cf 85 cf 81 ce b9 ce b1 ce ba ce b7 cf 82 Αααχ;cypr
Μολις ηπια μια γουλια που το φραπε μου;cypr
Φραπε τζιαι τσιαρο Η εβδομαδα μου ηταν;cypr
καπως περιεργη Η γριπη βασανιζει με;cypr
ακομα εν προσεχω καθολου τζιαι φκενω;cypr
εξω αρκετα Πρωτο θεμα της ημερας οι;cypr
αντρες Λοιπον;cypr
 Ας ξεκινησουμε που τα απλα Με τον;cypr
Αστροφυσικο ολα μια χαρα Πολλα φιλικα;cypr
τα πραματα αν και ακομα αγκαλιαζω τον;cypr
και νιωθω οτι ερεθιζεται καβλωνει does;cypr
not sound pretty Εν ξερω γιατι εν θελει να;cypr
καμει σεξ μαζι μου αλλα whatever Περνω τοσο;cypr
ωραια μαζι του Γελουμε συνεχεια τον;cypr
βλεπω καθε μερα και εχει παρα πολυ;cypr
γελιο Εν πολλα αυθεντικος πολλα ο;cypr
εαυτος του χωρις να τον ενδιαφερει που;cypr
τον κριτικαρουν μερικες φορες Κατι το;cypr
οποιο εκαμα και εγω πιο παλια αλλα οπως;cypr
φαινεται εχω αρχισει να ειμαι πιο;cypr
προσεχτικος τωρα τελευταια Καμει κατι;cypr
πραματα που θελω να φακκω χαμε που τα;cypr
γελια π χ στα γενεθλια του εβαλεν το video;cypr
της Monroe να τραγουδα το happy birthday to you τζιαι;cypr
γυριζει θωρει το ταβανι τζιαι στελνει;cypr
φιλακι τζιαι καμει ενα φιλακι για σενα;cypr
Μεριλυν που εισαι στο παραδεισο Η στο;cypr
τραμ γυριζει με πολλα απελπισμενο υφος;cypr
τζαι λαλει μου αχ Θεε του τραμ καμε να;cypr
μπει κανενας ωραιος μες το τραμ τζιαι;cypr
διαφορα τετοια Μια περιεργη γνωριμια;cypr
που ελπιζω να μεινει ως φιλος επιστρεφει;cypr
Ρωμη βεβαια σε ενα μηνα οποτε θα;cypr
δουμε;cypr
 Οι αλλοι αντρες της βδομαδας Με τον;cypr
Γυμναστη τιποτα εν εκαμα ορεξη να;cypr
βρεθω μαζι του Εγνωρισα εναν πολλα;cypr
ομορφο φοιτητη Ψυχολογιας την Παρασκευη;cypr
στο αγαπημενο μου μπαρακι που εξανανοιξε;cypr
επιτελους Ο τυπας ομως ηταν ελαφρως;cypr
disturbed and disturbing Σε καποια φαση νομισε;cypr
πως τον ειρωνευτηκα τζιαι αρκεψε να;cypr
γινεται παρα πολλα αμυντικος τζιαι στο;cypr
τελος εφυγε χωρις καν να μου πει γεια;cypr
Τζιαι τουτα ουλλα επειδη ειπεν μου οτι;cypr
το ονειρο του ειναι να εχει δικη του γη;cypr
και να καλλιεργει τα δικα του πραματα;cypr
σαν τους παππουδες του τζιαι γω ειπα;cypr
του οτι εαν τουτη εν η ζωη που του;cypr
αρεσκει γιατι οχι Απλα δεν ειναι η ζωη;cypr
που θελω εγω για μενα Τζιαι επιασεν το;cypr
αμανε τζιαι πηενε τζιε ρωτα με τζιαι;cypr
προσπαθουσε να εβρει εναν τροπο να με;cypr
πεισει οτι πρεπει να ζουμε αγκαλια με;cypr
το χωμα κτλ Πολλα ωραια ιδεα αλλα not for;cypr
me Εν θελω να γινω γεωργος Αλλα;cypr
ατε;cypr
 Επισης εφκηκα ραντεβου με εναν;cypr
καθηγητη τεχνης που ηταν μεγαλη;cypr
απογοητευση τελικα Ειχε ωραιο σωμα;cypr
 κατι που εν με απασχολει ιδιαιτερα αλλα;cypr
αρεκσει μου φατσα πολλα πολλα μετριος;cypr
αλλα κυριος η συμπεριφορα ηταν;cypr
απιστευτα ξενερωτικη Ψιλο μιζερος του;cypr
στυλ οι φιλες που επαντρευτηκαν οι;cypr
φιλοι μου που εν σχεδον ολοι στρειτ;cypr
επαντρευτηκαν τζιαι γω εμεινα μονος;cypr
μου Ανιγουει Επιαμε σε ενα πολλα;cypr
χαριτωμενο μπαρακι στη διπλανη πολη;cypr
αλλα νομιζω εκαταλαβε πως εν μου αρεσεν;cypr
Παντα φαινεται Εγνωρισα και δυο φιλους;cypr
του αστροφυσικου που με τον οποιο;cypr
ειχαμε αρκετη χημεια αλλα εν μου εφκαλε;cypr
κατι σεξουλικο Η μαμα του μολις εχωρισε;cypr
με τον παπα του του αποκαλυψε πως ειναι;cypr
λεσβια τζιαι ο αλλος φιλος του;cypr
Αστροφυσικου ο παπας του εν γκει Χεχε;cypr
Το τραγικο ειναι πως και των δυο οι;cypr
γονεις εμιλησαν τους για την σεξουαλικοτητα;cypr
τους Γιε μου πρεπει να σου πω;cypr
κατι ειμαι γκει αλλα τα δυο παιδια;cypr
ακομα να πουν τιποτε στους γονεις τους;cypr
για την σεξουαλικοτητα τους Περιεργα;cypr
πραματα Ξερεις παπα μαμα και γω ειμαι;cypr
γκει would have been a very appropriate reaction;cypr
 Κατα τα αλλα περασα μια βδομαδα;cypr
σκεφτομενος οτι εν πρεπει να ξαναβρεθω;cypr
με τον Ψυχοπαθη γιατι ειμαι φατζιμενος;cypr
αλλα εν αντεξα Ειδα τον εχτες τζιαι;cypr
εμιλησαμε τζιαι ειπα του ο τι μα ο τι;cypr
νιωθω τζιαι η αντιδραση του ως συνηθως;cypr
ηταν πολλα σωστη αλλα ταυτοχρονα;cypr
ελαφρως απομακρη Ειπα του οτι οταν;cypr
ανακαλυψα πως ηταν με καποιον αλλο;cypr
εθελα να καμω εμετο τζαι να του συρω τα;cypr
οργανικα μακαρονια στα μουτρα τζια;cypr
ταυτοχρονα εθελα να βαλω την κκελε μου;cypr
μεστα γονατα μου τζια να φυρτω Οχι με;cypr
τοσην λεπτομερεια Αλλα εδωκα του να;cypr
καταλαβει ποσο πολλα μου αρεσκει τζιαι;cypr
τζινος ειπεν μου οτι εν ειχε ιδεα αλλα;cypr
αρεσκω του Εν ο αντρας που θα μπορουσα;cypr
να μεινω μαζι του για ενα μεγαααλο;cypr
χρονικο διαστημα Αλλα ταυτοχρονια ξερω;cypr
οτι εν ερωτευμενος με καποιον αλλο οτι;cypr
εγω θα φυγω τον Αυγουστο και εν θα;cypr
επιστρεψω εκτος και αν ειναι για;cypr
καποιες μερες Εν τοσον ηλιθιο Θα επρεπε;cypr
να ξεκοψω να προσπαθισω να τον;cypr
ξεπερασω Οπιον γνωρισω δαμε συγκρινω;cypr
τον μαζι του ειπα του το τζιε τουτο;cypr
τζιαι δυστυχως εν πολλα λιγοι κοντα του;cypr
Αλλα που την αλλη εμειναν μου 5 βδομαδες;cypr
δαμε τζιαι θελω να τον δω οσο παραπανω;cypr
γινεται Εννα στραφω Κυπρο ενιγουει;cypr
τζιε μετα θα παω Αγγλια οποτε εννα;cypr
τελιωσει ειτε το θελω ειτε οχι Εν ξερω;cypr
εν καλυτερα να προσπαθισω να το ζησω;cypr
λιγο τωρα που ειμαι δαμε Οι μερες κοντα;cypr
του εν τοσο ομορφες Ειπε μου οτι θα;cypr
 κλεψει μια μερα τουντην βδομαδα για;cypr
να παμε εκδρομη Τωρα να δουμε Εν του;cypr
πολλο πιστεφκω Μακαρι ομως Και μακαρι;cypr
να γινει και κατι πιο ερωτικο ποθω τον;cypr
απιστευτα τζιαι εν ξερω κατα ποσο με;cypr
βλεπει σεξουαλικα πλεον Εν ο πρωτος που;cypr
νιωθω κατι ετσι απιστευτα δυνατο μετα;cypr
που 3 χρονια που εχωρισα;cypr
 Κατα τα αλλα προσπαθω να οργανωσω λιγο;cypr
τη ζωη μου τις σκεψεις μου Εχω πραματα;cypr
να καμω στο σπτι το οποιο μισω απιστευτα;cypr
πλυντηρια κτλ εχω να παω γυμναστηριο;cypr
να διαβασω τζιαι να προσπαθησω να βρω τι;cypr
