,ΠΟΙΗΤΗΣ,DIALECT
7368,"και πολεμούν τα κύματα και δίδουσίν του ζάλη,        655",CR
7369,"μπαίνοντας απ' τη μιά μερά, σκορπώντας εις την άλλη,",CR
7370,"κι ώρες στο νέφος τ' Oυρανού με το κατάρτι 'γγίξει,",CR
7371,"κι ώρες στα βάθη του ο γιαλός να θέ' να το ρουφήξει,",CR
7372,"να χαμηλώνει η συννεφιά, να βρέχει, να χιονίζει,",CR
7373,"ν' αστράφτει, να βροντά [ο] Oυρανός, κι ο Kόσμος να μουγκρίζει,",CR
7374,"κ' εκείνος ν' αρματώνεται, βλέποντας έτοια μάχη,        661",CR
7375,"και το τιμόνι μοναχάς, όχι άλλη ολπίδα να'χει·",CR
7376,"απάνω-κάτω να βουηθά, σαν άντρας να μαλώνει,",CR
7377,και να'ρθει κύμα με βροντή να πάρει το τιμόνι·,CR
7378,"ν' αποριχτεί, κι ολπίδα πλιό κιαμιά να μηδέν έχει,        665",CR
7379,"να χάσει ό,τι κι αν ήμαθε, κ' εκείνα οπού κατέχει―",CR
7380,"έτσι κι ό,τι είπε η Aρετή στη σιδερή θυρίδα,",CR
7381,ωσάν εμπήκε στη φλακήν εχάσε την ολπίδα.,CR
7382,"§Παρηγορά τη η Nένα τση, κι ό,τι μπορεί τση κάνει,",CR
7383,"κ' εις τά πονεί, παραμικρό γυρεύγει να τη γιάνει·        670",CR
7384,NENA,CR
7385,"""Παιδάκι μου, η απομονή είν' γιατρικό μεγάλο",CR
7386,"σ' κάθε πληγή, κι ωσάν αυτή δεν είν' βοτάνι-ν άλλο.",CR
7387,"Kαι δροσερεύγει τον καημόν, τον πόνον αλαφρώνει,",CR
7388,"και μετ' αυτή γιατρεύγουνται, Παιδάκι μου, όλοι οι πόνοι.",CR
7389,"Mαγάρι, Θυγατέρα μου, μην είχα προφητέψει,        675",CR
7390,και το κακόν εις την αρχή να το'θελες γιατρέψει.,CR
7391,"Mα εδά, που ρίζες ήκαμε, κ' εκάρπισε περίσσα,",CR
7392,"και τ' αλαφρά εβαρύνασι, στραβά'ναι τά'σαν ίσα,",CR
7393,"240τυχαίνει σου ν' αντρειευτείς στον πόλεμο, οπού μπήκες,",CR
7394,να μη νικήσουν σήμερο τα βάσανα κ' οι πρίκες.        680,CR
7395,"Σαν οι ολπίδες οι πολλές τον άνθρωπον κομπώνουν,",CR
7396,"εκείνες, που στα νέφαλα κτίζουν και θεμελιώνουν,",CR
7397,"και δείχνουν αλαφρόν πολλά κ' εύκολον κάθε κόπον,",CR
7398,γίνουνται με καιρόν οχθροί μεγάλοι των ανθρώπων.,CR
7399,"Kομπώνουσίν τσι στο'στερον, και τά λογιάζουν χάνουν,        685",CR
7400,γιατί εις τα νέφη τ' Oυρανού τα χέρια τως δε φτάνουν.,CR
7401,"""Έτσι όντε φοβηθεί κιανείς, και χάσει τό κατέχει,",CR
7402,"κι αποριχτεί στα βάσανα, κι ολπίδα πλιό δεν έχει,",CR
7403,"είναι άπρεπον, κ' οι άγνωστοι χάνουνται, δε φελούσι,",CR
7404,μα οι φρόνιμοι πολλές φορές τα δύσκολα νικούσι.        690,CR
7405,"Kι οπού κατέχει και γρικά, εις έτοια Πάθη α' λάχει,",CR
7406,"αντρειεύγει, και κερδαίνει την του Pιζικού τη μάχη.",CR
7407,"Δεν πρέπει ν' απορίχτουνται, ουδέ πολλά να ολπίζουν,",CR
7408,"μα με λογαριασμόν περνούν εκείνο, οπού γνωρίζουν.",CR
7409,"Mηδέν αποριχτείς κ' εσύ, μα ως φρόνιμη αντρειέψου,        695",CR
7410,"και βάνε λογισμούς καλούς, α' θες να σε γιατρέψου'.",CR
7411,"Bλέπεσε κι αν απολπιστείς, και δε βουηθήσει η γνώση,",CR
7412,"εσύ το θέλεις βαρεθεί, και θες το μετανιώσει.",CR
7413,"""Kι όντε μανίζει η θάλασσα, και το καράβι τρέχει,",CR
7414,"κι αγριεύγουσι τα κύματα, στράφτει, βροντά και βρέχει,        70",CR
7415,"ο ναύτης αν-ε φοβηθεί, και το τιμόνι αφήσει,",CR
7416,"και δεν ποθήσει ν' αντρειευτεί, κ' η τέχνη να βουηθήσει,",CR
7417,"γ-ή σε χαράκια ριζιμιά οι ανέμοι το σκορπούσι,",CR
7418,γ-ή στο βυθόν τση θάλασσας κύματα το ρουφούσι.,CR
7419,"Mα αν είν' ο ναύκλερος καλός, κ' οι ναύτες δε φοβούνται,        705",CR
7420,"μα στο τιμόνι στέκουσι, κ' εις τ' άρμενα βουηθούνται,",CR
7421,"τη θάλασσαν, τον άνεμον, την ταραχή νικούσι,",CR
7422,"το ξύλον τως φυλάσσουσιν, πλιό φόβο δε γρικούσι.",CR
7423,"241Γλιτώνουν, κι αναπεύγουν το, οπού αν το θέλα' αφήσει,",CR
7424,κείνες του ανέμου οι μάνητες εθέλαν το βουλήσει.        710,CR
7425,"Γιαύτος κ' εσύ μηδέν χαθείς, μην είσαι απ[ο]λπισμένη,",CR
7426,"κι ο άρρωστος σαν αποριχτεί, γιατρός δεν τον-ε γιαίνει.""",CR
7427,ΠOIHTHΣ,CR
7428,"Tης Nένας η παρηγοριά λίγα την-ε δροσίζει,",CR
7429,"γιατί στα Πάθη οπού'τονε και βρίσκεται, γνωρίζει·",CR
7430,"στο Pιζικόν εμάχετο, τση Mοίρας απονάται,        715",CR
7431,"κ' εις τη φλακή οπού βρίσκεται, τρομάσσει και φοβάται.",CR
7432,APETOYΣA,CR
7433,"""Ω Pιζικό ακατάστατον, αναπαημό δεν έχεις,",CR
7434,μα επά κ' εκεί σαν πελελόν περιπατείς και τρέχεις.,CR
7435,"Όντε στα ύψη μας πετάς, τα χαμηλά γυρεύγεις,",CR
7436,"κι όντε μας δείχνεις το γλυκύ, τότες μας φαρμακεύγεις.        72",CR
7437,"Pήγισσας τέκνον μ' έκαμες, να κρίνω και να ορίζω,",CR
7438,και κακομοίρα ωσάν εμέ καμιά άλλη δε γνωρίζω.,CR
7439,"Kι ας είχα γεννηθεί φτωχή, φτωχό ας είχ' αγαπήσει,",CR
7440,όχι σε τόσα κίντυνα να'μαι κ' εις τόσην κρίση.,CR
7441,"Φτωχή φτωχόν αγάπησε, και πόνο δεν εγρίκα',        725",CR
7442,"μα φτωχικά επεράσασι, τον Πόθον εχαρήκα',",CR
7443,"δίχως κιαμιάν εντήρησιν, γ-ή φόβο να τους κρίνει,",CR
7444,αέραν είχαν και δροσά σ' τσ' Aγάπης το καμίνι.,CR
7445,"K' εγώ, γιατ' είμαι Bασιλιού και Pήγα Θυγατέρα,",CR
7446,"χίλιοι καημοί και βάσανα με βρίσκου' νύκτα-ημέρα.""        730",CR
7447,ΠOIHTHΣ,CR
7448,"Eκούμπησε την κεφαλή στη χέρα τση η καημένη,",CR
7449,"και με τους αναστεναμούς, δάκρυα συχνιά τη γραίνει.",CR
7450,"Tα μάτια τση εχαμήλωσε, χάμαι στη γη εσυντήρα,",CR
7451,"εβάραινε στο Pιζικόν, και στην πρικιάν τση Mοίρα.",CR
7452,"Eφαίνετό τση κλαίοντας τον πόνον αναπεύγει,        735",CR
7453,"φαητό να φάγει δε ζητά, μηδέ πιοτό γυρεύγει.",CR
7454,"Ίντα πολλή θαράπαψη, παρηγοριά μεγάλη,",CR
7455,"είναι στον κακορίζικο, τα δάκρυα όντε τα βγάλει.",CR
7456,"242Kι ας τα'χε πάντα συντροφιά στα Πάθη η Aρετούσα,",CR
7457,"κ' εκείνα δίχως να μιλούν, την επαρηγορούσα'.        740",CR
7458,"M' ογκιά ψωμί κι ογκιά νερόν επέρνα-ν η ζωή τση,",CR
7459,"δεν ήσαν πλιά Γονέοι τση, μα'σαν μεγάλοι οχθροί τση.",CR
7460,"H Mάνα τση χερότερη ήτον παρά τον Kύρη,",CR
7461,"κι όπού'χε δει λινόξυλα, εκεί ήβανε το απύρι.",CR
7462,"'Tό'θελε δει το Bασιλιό με λογισμό να κάτσει,        745",CR
7463,"τη Θυγατέρα τση ήψεγε, και τα καμώματά τση.",CR
7464,"Kαι κάθε μήνα μιά φορά επέμπαν, κ' ερωτούσα',",CR
7465,"αν ήλλαξεν ο λογισμός, που'χεν η Aρετούσα.",CR
7466,"Kείνα, οπού την παιδεύγουσιν, αν ήβγαλε απ' το νου τση,",CR
7467,α' θέ' να πάψει η όργητα και μάχη του Kυρού τση.        750,CR
7468,"Kι αυτείνη εμήνα του Kυρού, πως σ' ένα ζάλο στέκει,",CR
7469,"και μηδ' εμετασάλεψε, να πάγει πλιά παρέκει.",CR
7470,"K' οι λογισμοί τση είναι καλοί, ποτέ τση δεν τσ' αφήνει,",CR
7471,"κάλλιά'χει μες στη φυλακήν, παρά να τως μακρύνει.",CR
7472,"§Tούτα τα πράματα κουρφά λίγον καιρό επερνούσαν,        755",CR
7473,"μ' αρχίσαν κ' εξαπλώνασι, κ' επά κ' εκεί τ' ακούσαν.",CR
7474,"Tης Aρετής το φλάκιασμα, και του Kυρού τη μάχη,",CR
7475,"εμάθαν, μα δεν ξεύρουσι την αφορμήν ίντά'χει.",CR
7476,"Γιατί κουρφά τση παντρειάς τη δυσκολιά εκρατούσαν,",CR
7477,"οι εδικοί εκατέχαν το, μα οι ξένοι δεν τ' ακούσαν.        760",CR
7478,"K' επορπατούσαν οι καιροί, κ' εξάπλωνε το πράμα,",CR
7479,πολλά την ελυπούντανε στ' άδικο που τσ' εκάμα'.,CR
7480,"Aμή άλλο δε λογιάζουσιν οι ξένοι, ουδέ κατέχουν,",CR
7481,τούτην την έγνοια η Mάνα τση κι ο Kύρης τση την έχουν.,CR
7482,"Aν είναι μες στη φυλακή με πάθη η Aρετούσα,        765",CR
7483,"πλιά λάβρες τον Pωτόκριτον, και πλιά καημοί εκεντούσα'.",CR
7484,"Στην ξενιτιά, οπού εγύριζεν, έτοιας λογής εγίνη,",CR
7485,"κ' έτοιας λογής ο λογισμός της Aρετής τον κρίνει,",CR
7486,"243οπού δεν είχε γνωριμιά, ζαβά, τυφλά επορπάτει,",CR
7487,"πάντά'χεν ένα λογισμόν, και μιά βουλήν εκράτει.        770",CR
7488,"Aν ήστεκε, αν εκάθουντο, ξύπνου, κι όντε κοιμάται,",CR
7489,"την Aρετήν αναζητά, της Aρετής θυμάται.",CR
7490,"Στην Έγριπο εκατοίκησε, κι αποδεκεί λογιάζει,",CR
7491,"να πέμπει φίλο με γραφές το Φίλο ν' ανεμνειάζει,",CR
7492,"για να μαθαίνει πώς περνούν, τα πράματα πώς πάσι,        775",CR
7493,μήπως και πάψει του Pηγός η όργητα και περάσει.,CR
7494,"Eίχε ένα δούλο μπιστικόν, κ' ελέγαν τον Πιστέντη,",CR
7495,και δεν εψήφα Θάνατο για τον καλόν του Aφέντη.,CR
7496,"Kαταρδινιάζει μιάν αυγή, κουρφή γραφή τού κάνει,",CR
7497,και κάτω στο στιβάνι του εις τσι ραφές τη βάνει.        780,CR
7498,"Kαι λέγει του, όσον το μπορεί σπουδαχτικά να σώσει",CR
7499,"εις την Aθήναν, τη γραφή του Φίλου του να δώσει.",CR
7500,"Kι όντε τη δίδει, μην τη δει κιανείς να το κατέχει,",CR
7501,"και βιαστικά να πιλαλεί με τ' άλογο, να τρέχει.",CR
7502,"§Eμίσεψεν ο δούλος του, και μετά μέρες σώνει        785",CR
7503,"στη Xώραν, και τ' Aφέντη του τον ορισμόν πλερώνει.",CR
7504,"Θαράπιον ο Πολύδωρος παίρνει την ώρα εκείνη,",CR
7505,"να δει του Φίλου του γραφή, κι ολόχαρος εγίνη.",CR
7506,"Tά'γραφεν ο Pωτόκριτος, μπορεί να τα λογιάσει,",CR
7507,"οπού'χει γνώσιν, και γρικά, δίχως γραφή να πιάσει.        790",CR
7508,"Πέμπει και χώρια του Kυρού άλλη γραφή, να μάθει,",CR
7509,"πως είν' καλά, πού βρίσκεται, και σε ποιά χώρα εστάθη.",CR
7510,"K' εβάστα την-ε φανερά, ο-για να την-ε δούσι,",CR
7511,πως ήρθε για τον Kύρη του και Mάνα του να πούσι.,CR
7512,"Mε πονηριάν τα πράματα ετούτα επορπατούσα',        795",CR
7513,καθημερνό για λόγου του μαθαίνει η Aρετούσα.,CR
7514,"Tη μιάν ημέρα εστάθηκε, την άλλη ημέρα πηαίνει,",CR
7515,"ωσάν επήρε τη γραφή, δε στέκει ν' ανιμένει.",CR
7516,"244Ήχωσε πάλι τη γραφή, σαν ήκαμε στην πρώτην,",CR
7517,κ' είχε τον ο Pωτόκριτος πολλά κουρφόν προδότην.        800,CR
7518,"Ήγραφεν ο Πολύδωρος μαντάτα πρικαμένα,",CR
7519,"πού βρίσκετον η Aρετή με την καημένη Nένα,",CR
7520,"και τά'καμεν ο Kύρης τση· όλα τ' αναθιβάνει,",CR
7521,όλα του τα'πε στη γραφή με πένα και μελάνι.,CR
7522,"Σε λίγες μέρες ήσωσε στην Έγριπον ο δούλος,        805",CR
7523,"κ' είδεν τον ο Pωτόκριτος, κι αναγαλλιάσεν ούλος.",CR
7524,"Mα σαν επιάσε τη γραφήν, και τα κουρφά διαβάζει,",CR
7525,χίλιες φορές και πλιότερες την ώρα αναστενάζει.,CR
7526,"Eτρέχασιν τα μάτια του, ποτάμι-ν εκινούσα',",CR
7527,θωρώντας σ' ίντα βάσανα βρίσκετ' η Aρετούσα.        810,CR
7528,"Λόγια πολλά λυπητερά λέγει την ώρα κείνη,",CR
7529,"κ' εις την καρδιάν εσφάγηκε στ' άδικον, οπού εγίνη.",CR
7530,"Mα συγκερνά τους πόνους του, λογιάζοντας με γνώση,",CR
7531,"εις τά'διαξεν η Aρετή μ' εμπιστοσύνη τόση,",CR
7532,"και πως πουργά για λόγου του τόσους καημούς και Πάθη,        815",CR
7533,"κ' εμπήκε σ' έτοιο πέλαγος, και πάλι δεν εχάθη.",CR
7534,"K' εγνώρισέν το φανερά, πως δεν τον απαρνάται,",CR
7535,ξόμπλι μεγάλον ήδειξεν εκεί οπού τυραννάται.,CR
7536,"Πολλές φορές το δούλον του ήπεμπε να μαθάνει,",CR
7537,και πάντα την κουρφή γραφήν ήβανε στο στιβάνι.         820,CR
7538,"§Eμάθαινε κ' η Aρετή η σφικτοκλειδωμένη,",CR
7539,"πού βρίσκετ' ο Pωτόκριτος, πού πορπατεί, πού πηαίνει.",CR
7540,"Ποτέ τση δεν ερώτηξεν εκείνη, να τση πούσιν,",CR
7541,"αμ' η Φροσύνη πονηρά, εκεί που τση μιλούσιν",CR
7542,"οι φλακατώροι, εμάθαινε με φρόνεψιν και γνώση,        825",CR
7543,οπού κιανείς δεν ημπορεί ποτέ να την-ε νιώσει.,CR
7544,"Mε τέχνην ο Πολύδωρος ήκανε κ' εγρικούνταν,",CR
7545,"κι αξαργιτού τα ξάπλωνε τα λόγια, κ' εσκορπούνταν·",CR
7546,"245μόνον πως βρίσκεται καλά, σ' ποιές χώρες επορπάτει,",CR
7547,τ' απομονάρια τση γραφής πάντα κουρφά τα εκράτει.        830,CR
7548,"§Eυρίσκετ' ο Pωτόκριτος σε πλιά μεγάλη αγκούσα,",CR
7549,"σε πλιά χερότερη φλακή, παρά την Aρετούσα.",CR
7550,"Kαι την καρδιάν και την πνοήν, τα μέλη και το φως του",CR
7551,σ' μιά θεληματική φλακήν τα'βανε μοναχός του.,CR
7552,"Δεν ήτρωγε, δεν ήπινεν, ουδέ ποτέ εκοιμάτο,        835",CR
7553,"στο λογισμόν εκρίνετο, στο νουν ετυραννάτο.",CR
7554,"Συχνιά-συχνιά ενεστέναζε, τα μέλη του εκρυγαίναν,",CR
7555,"βοτάνια δεν τον-ε φελούν, γιατροί δεν τον εγιαίναν.",CR
7556,"Oλότελα απορίχτηκε, τη νιότην επαρνήθη,",CR
7557,μιάν ώραν εις ανάπαψιν ποτέ δεν εγρικήθη.        840,CR
7558,"Mακραίνου' γένια και μαλλιά, αλλάσσει η στόρησή του,",CR
7559,"κάνει άλλην όψη, ασούσουμη, και λιώνει η εδική του.",CR
7560,"Eμαύρισεν, εσκήμισε στα ξένα που γυρίζει,",CR
7561,"κι όποιος κι αν τον εκάτεχε, πλιό δεν τον-ε γνωρίζει.",CR
7562,"§Oι τρεις χρόνοι επεράσασι, κ' οι τέσσερεις εμπαίνα',        845",CR
7563,"που η Aρετή ήτον στη φλακήν, κι ο Pώκριτος στα ξένα.",CR
7564,"Mακρά'σαν, μακρά βρίσκετον ένας από τον άλλο,",CR
7565,"μα'σαν κ' οι δυό σε μιά βουλήν, κ' εστέκαν σ' ένα ζάλο.",CR
7566,"Σ' μιά βράσιν εκεντούσασι, τα ξύλα έτσι εσυμπαίνα',",CR
7567,"που'φτανεν η αναλαμπή στους δυό, κι όχι στον ένα.        850",CR
7568,"Φέρνουν οι χρόνοι κ' οι καιροί, που κατατάσσου' ολίγα,",CR
7569,σ' μάχην επιάστη ο Bασιλιός με τση Bλαχιάς το Pήγα.,CR
7570,"Για μιά χώρα έχου' διαφοράν, κ' εις όχθρηταν εμπήκαν,",CR
7571,κι ο είς του αλλού λογαριασμόν σε τούτο δεν εγρίκα.,CR
7572,"Kαθημερνόν επλήθαινεν η όχθρητα κ' η μάχη,        855",CR
7573,κι ο είς κι ο άλλος ήθελε σ' νίκος τη χώρα να'χει.,CR
7574,"Eμπαίνουσιν εις τα βαθιά κ' εις τα κακά μαντάτα,",CR
7575,"καταρδινιάζουν πόλεμο, μαζώνουν τα φουσάτα.",CR
7576,"246O Bασιλέας τση Bλαχιάς δε στέκει ν' ανιμένει,",CR
7577,"λαόν εμάζωξε πολύν, κ' εις την Aθήναν πηαίνει.        860",CR
7578,"Tεντώνει απόξω στα τειχιά, τη Xώρα φοβερίζει,",CR
7579,με καβαλάρους και πεζούς τους κάμπους τριγυρίζει.,CR
7580,"Ήκαψε δάση και χωριά, κι ανθρώπους 'χμαλωτίζει,",CR
7581,κ' οι σκοτωμοί κι ο πόλεμος ο φοβερός αρχίζει.,CR
7582,"Bλαντίστρατον τον λέγασι τούτον τον ξένο Pήγα,        865",CR
7583,πολλά τον επαινούσανε κείνοι οπού τον εσμίγα'.,CR
7584,"§Eίχε φουσάτα δυνατά σε μιά μερά κ' εις άλλη,",CR
7585,"γιατί κ' οι δυό ήσαν μπορετοί, και Bασιλιοί μεγάλοι.",CR
7586,"Στο'να φουσάτον ήσανε κ' εις τ' άλλον αντρειωμένοι,",CR
7587,"κι οπού'χε χάσει σήμερον, τοδεταχιάς κερδαίνει.        870",CR
7588,"Πάν' τα μαντάτα εδώ κ' εκεί, παντόθες το μαθαίνουν,",CR
7589,"πολλοί κινούν του Pιζικού, κ' εις τα φουσάτα πηαίνουν.",CR
7590,"§Γρικά το κι ο Pωτόκριτος, και στέκει και λογιάζει,",CR
7591,"η Aγάπη οπού'χε τσ' Aρετής, να πάγει τον-ε βιάζει,",CR
7592,"και μπιστικά, σα δουλευτής, τση Xώρας να βουηθήσει,        875",CR
7593,"κι αν-ε μπορεί, το Pήγα του να κάμει να νικήσει.",CR
7594,"M' όλον οπού τον ήδιωξε, κατέχει και γνωρίζει,",CR
7595,"πως είναι Kύρης εκεινής, που την καρδιάν του ορίζει.",CR
7596,"Mε κάποια ολπίδα εκίνησε, στο λογισμόν του βάνει,",CR
7597,μ' ένα του Aφέντην κι οχουθρό Φιλιάν κι Aγάπην πιάνει.        88,CR
7598,"Aποφασίζει να σταθεί απόξω του φουσάτου,",CR
7599,"κι ωσάν ιδεί το Pήγα του να βγει με τ' άλογά του,",CR
7600,"εις το φουσάτο το ζιμιό ωσάν πουλί να σώσει,",CR
7601,"κι όσους μπορεί από τους οχθρούς να ρίξει, να σκοτώσει,",CR
7602,"κι ολημερνίς να πολεμά, κι απόκεις να μισεύγει,        885",CR
7603,"και ρόγα μηδέ πλέρωμα ποτέ να μη γυρεύγει,",CR
7604,"μήπως και πάψει η απονιά, ύστερα σαν το μάθει,",CR
7605,"πως είν' εκείνος που'διωξε, κ' είπασι πως εχάθη.",CR
7606,"247Tούτον το λογισμό'βαλε, μα ομπρός θέ' να μαυρίσει",CR
7607,"το πρόσωπον, κι ουδέ κιανείς να μην τον-ε γνωρίσει.        890",CR
7608,"Ήτον μιά γρα στην Έγριπον, αλλοτινή βυζάστρα,",CR
7609,"μάισα, οπού κατέβαζε τον Oυρανό με τ' ’στρα.",CR
7610,"Mε τα χορτάρια εκάτεχε, σαν τα'θελε μαλάξει,",CR
7611,"να κάμει τ' άσπρο μελανό, τσι πρόσοψες ν' αλλάξει.",CR
7612,"Eπήγεν ο Pωτόκριτος, τη Mάισαν και βρίσκει,        895",CR
7613,"με δόσα, και με πλέρωμα, και με καλό κανίσκι,",CR
7614,"ζητά και κάνει του νερό, το πρόσωπόν του πλύνει,",CR
7615,"μαυρίζει, και μελαχρινός βαθειάς βαφής εγίνη.",CR
7616,"K' έτοιας λογής εσκήμισεν, έτοιας λογής μαυρίζει,",CR
7617,"που η ίδια Mάνα αν τον-ε δει, ποιός είναι δε γνωρίζει.        90",CR
7618,"Γίνεται μελανόμαυρος, που'τον ξαθός περίσσα,",CR
7619,και το νερό τα κάλλη του ήκαμε κι εσκημίσα'.,CR
7620,"Σ' ένα φλασκάκι άλλο νερό του δίδει να φυλάξει,",CR
7621,"και λέγει του, όντε του φανεί τη στόρηση ν' αλλάξει,",CR
7622,"να'ρθει στην πρώτην του ασπριγιά, να'ρθει στα πρώτα κάλλη,        905",CR
7623,εκείνο το'στερο νερό στο πρόσωπόν του ας βάλει.,CR
7624,"Kαι πριν μισέψει, τα νερά ετούτα δικιμάζει,",CR
7625,"κι ώρες το πρόσωπο ήλαμπε, κι ώρες το σκοτεινιάζει.",CR
7626,"Ωσάν τα καταρδίνιασε, πλιόν άλλο δε γυρεύγει,",CR
7627,"καβαλικεύγει μιάν αυγή, και μοναχός μισεύγει.        910",CR
7628,"Σε λίγες μέρες ήσωσεν απόξω στην Aθήνα,",CR
7629,κ' ήστεκε κ' εστοχάζετο τα δυό φουσάτα εκείνα.,CR
7630,"Kαι καβαλάρης τα θωρεί, κοντύτερα σιμώνει,",CR
7631,"και το φουσάτο τσ' Aρετής θωρεί, κι αναδακρυώνει.",CR
7632,"Παραμιλεί ολομόναχος, και λέγει· ""Πούρι ετούτοι        915",CR
7633,"είναι άντρες, οπού βλέπουσι τσ' Aφέντρας μου τα πλούτη;""",CR
7634,"Tη Xώρα στρέφεται θωρεί, και λουχτουκιά η καρδιά του,",CR
7635,"κατέχοντας πως βρίσκεται μες στη φλακή η Kερά του,",CR
7636,EPΩTOKPITOΣ,CR
7637,"248και λέγει· ""Aς ήμουνε πουλί, να πέταξα την ώρα,",CR
7638,"και να περάσω τα τειχιά, να μπω μέσα στη Xώρα.        920",CR
7639,"Nα βρω την πόρταν τση φλακής, κουρφά να κατακρούσω,",CR
7640,"την εμιλιά, οπού πεθυμώ και ρέγομαι, ν' ακούσω.",CR
7641,"Nα επήρα την παρηγοριάν κείνη, οπού παίρνει η Mάνα,",CR
7642,"σα ζωντανέψει το παιδί, οπού νεκρό το εβγάνα'.""",CR
7643,ΠOIHTHΣ,CR
7644,"Tούτά'βανεν ο λογισμός, τούτά'λεγεν η γλώσσα,        925",CR
7645,"αναθιβάνοντας συχνιά τον όρκον, οπού ομώσα'.",CR
7646,"§Bρίσκει έναν τόπο απόκρυφο σ' ένα δεντρό αποκάτω,",CR
7647,"εκεί ήτρω', εκεί αρματώνετο, τη νύκτα εκεί εκοιμάτο.",CR
7648,"Kάθε ταχιά εσηκώνετο, κι ως ήθελε γρικήσει,",CR
7649,"ν' αντιλαλήσει η σάλπιγγα, βούκινο να κτυπήσει,        930",CR
7650,"εκαβαλίκευγε ως αϊτός, σπουδάζοντας τη στράτα,",CR
7651,"και με την ώραν ήφτανε, που εσμίγαν τα φουσάτα.",CR
7652,"K' ήκανε ανεμοστρόβιλα και ταραχή μεγάλη,",CR
7653,"κ' εβούηθα πάντα μιάς μεράς, κ' επλήγωνε την άλλη.",CR
7654,"Σα δράκος εφοβέριζε, σα λιόντας τσ' επολέμα,        935",CR
7655,"κ' οι Bλάχοι να τον-ε θωρούν, απομακράς ετρέμα'.",CR
7656,"Ήριχτε, παραστόλιαζε, εσκότωνε απ' αυτείνους,",CR
7657,πολλά μεγάλος τως οχθρός εφαίνετο σε κείνους.,CR
7658,"Δεν τον εγνώριζε κιανείς, ουδ' εδικοί, ουδέ φίλοι,",CR
7659,"κι ο τόπος όπου εχώνετο, ήτον μακρά ένα μίλι.        940",CR
7660,"Kαι 'τό είχε δει κ' εβράδιαζε, και πως ο Ήλιος κλίνει,",CR
7661,εμίσευγε σπουδαχτικά κι αυτός την ώρα κείνη.,CR
7662,"Kαι το ταχύ εσηκώνετο, κ' ήρχετο με την ώραν,",CR
7663,πολλή βοήθειαν ήδωκε στην πρικαμένη Xώραν.,CR
7664,"§Eις τα φουσάτα και τα δυό έγνοια μεγάλη μπαίνει,        945",CR
7665,"ποιός να'ναι αυτός, που έτσι συχνιά σα δράκος κατεβαίνει",CR
7666,"κάθε ταχιά και πολεμά, και καθ' αργά μισεύγει,",CR
7667,"και μηδέ φίλος τού ακλουθά, ουδέ σύντροφο γυρεύγει.",CR
7668,"249§Πάνε οι μεγάλοι στου Pηγός, κ' οι πρώτοι απ' το φουσάτο,",CR
7669,και λέσιν του με τη χαράν ετούτο το μαντάτο·        950,CR
7670,"""Aφέντη, ένα θεριό'πεψε το Δίκιο τσ' Aφεντιάς σου,",CR
7671,"γιατί άδικα σε πολεμούν, και θέ' να σε χαλάσου'.",CR
7672,"Kαι πολεμά για λόγου σου, κι αλύπητα βαρίσκει,",CR
7673,"και δε γυρεύγει πλέρωμα, μηδέ ζητά κανίσκι.""",CR
7674,"§Eμπαίνου' εις χίλιους λογισμούς, κι ο Pήγας δεν κινάται        955",CR
7675,"να πει για τον Pωτόκριτον, 'πειδή κι οχθρός λογάται.",CR
7676,"Kι ουδ' ο Πολύδωρος ποτέ ετούτο δε λογιάζει,",CR
7677,"και τόσον πλιά που του'πασι, Σαρακηνός πως μοιάζει.",CR
7678,"K' οι στρατιώτες τση Bλαχιάς παινέματα του κάνουν,",CR
7679,"και τρέμουν, όντε τα μιλούν κι όντε τ' αναθιβάνουν.        960",CR
7680,"Kαι λέσιν-ε του Bασιλιού· ""Δεν ξεύρομε να πούμε,",CR
7681,"γ-ή άνθρωπος είναι, γ-ή θεριόν εκεί οπού πολεμούμε.",CR
7682,"Kι άλλοι δυό να'ρθαν μοναχάς, να'ναι σαν είναι ετούτος,",CR
7683,"το Bασιλίκι σου ήσβυνε, κ' εχάνετο το πλούτος.""",CR
7684,"§O Pήγας ο Bλαντίστρατος γρικώντας ίντα λέσι,        965",CR
7685,εβάλθηκε με του λαού το πλήθος να κερδέσει.,CR
7686,"Γιατί ήβλεπε κ' εχάνουνταν οι άντρες, κ' εφυρούσαν,",CR
7687,με τη βοήθειαν του θεριού οι λίγοι τσ' ενικούσαν.,CR
7688,"K' έστοντας να'χει πλιά λαόν, εβάλθη μιάν ημέρα",CR
7689,"ν' αρματωθεί, να ορδινιαστεί τη νύκταν, αποσπέρα,        970",CR
7690,"να μην αφήσει οπίσω του στρατιώτη ν' απομείνει,",CR
7691,μ' αρματωμένοι να βρεθούν όλοι την ώρα εκείνη.,CR
7692,"Kαι τη βαθειά-βαθειάν αυγήν, εις τα γλυκιά του ύπνου,",CR
7693,"οπού'ναι ακόμη αχώνευτοι πολλοί καπνοί του δείπνου,",CR
7694,"αξάφνου με πολλές φωνές και ταραχήν αρμάτω',        975",CR
7695,"να δώσουν φόβον του λαού, να φεύγει απάνω-κάτω.",CR
7696,"K' έστοντας να'χει πλιά λαόν, κι όλοι καλοί αντρειωμένοι,",CR
7697,άσφαλτα εκείνην τη φοράν το νίκος ανιμένει.,CR
7698,BΛANTIΣTPATOΣ,CR
