ΠΟΙΗΤΗΣ,Dialect
"μην την ξυπάσει με φωνή, και πά' να ξαφορμίσει.",CR
"        Aνάθεμα έτοια βάσανα, κακή ώρα σ' έτοια κρίση!",CR
"§Eξύπνησε τρομάμενη, δείχνει πως θέ' να φύγει,        85",CR
"        σύρνει φωνή λυπητερή· ""O ποταμός με πνίγει!""",CR
"Ωσάν όντε ψυχομαχεί, εκτύπα-ν η καρδιά τση,",CR
        και με το κλάημα σιγανή ήτον η εμιλιά τση.,CR
"Ήτον και το προσκέφαλον τα δάκρυα τση γεμάτο,",CR
"        οπού εφοβάτο, κ' ήκλαιγε στον ύπνο οπού εκοιμάτο.        90",CR
"Ήπασκε η Nένα ό,τι μπορεί να την-ε συνηφέρει,",CR
"        πιάνει τη στην αγκάλη τση, κρατεί την απ' το χέρι,",CR
"ρωτά, ξαναρωτά την-ε, ίντά'σαν τα όνειρά τση,",CR
"        κ' ετρόμαξεν έτοιας λογής, κ' εράγη-ν η καρδιά τση.",CR
                  NENA,CR
"Kαι τα ονειροφαντάσματα, τση λέγει, ""Θυγατέρα,        95",CR
        και πράματα ψοματινά σε τούτα δ[α] σ' εφέρα'.,CR
"Πέ' μου κ' εμένα τ' όνειρο, συνήφερε, Aρετούσα,",CR
"        πολλά'δασι τα μάτια μου, πολλά τ' αφτιά μου ακούσα'.",CR
"K' εγώ κατέχω να σου πω, και να το ξεδιαλύνω,",CR
"        κι όποιες πιστεύγουν σ' όνειρα για πελελές τσι κρίνω.""        100",CR
                  ΠOIHTHΣ,CR
"Eξεζαλίστη η Aρετή, και τ' όνειρο δηγάται",CR
"        τση Nένας τση, και λέγει τση, το πως πολλά φοβάται.",CR
                  APETOYΣA,CR
"Nένα μου, τούτο τ' όνειρον είναι κακό για μένα,
        γ-ή σκλάβος είν' ο Pώκριτος, γ-ή επνίγηκε στα ξένα.
Tούτη του ανέμου η ταραχή, του ποταμού τα βάθη,        105
        δεν είναι παρά βάσανα, και πειρασμοί, και πάθη.
Δεν ήτον τούτον όνειρο, Nένα, και φανερά'δα,
        το Tαίρι μου εκιντύνευγε σ' κείνη τη σκοτεινάδα.
221Eτούτον είδα την αυγή, δυό ώρες να ξημερώσει,
        κι απόσταν τότες δεν μπορεί ο νους μου να μερώσει.        110
Eις ώρα οπού τα ονείρατα όλα τα πλιά αληθεύγουν,",CR
"        γιατί τα βάρητα του νου το πνέμα δεν παιδεύγουν,",CR
"και χωνεμένοι είν' οι καπνοί κείνοι, που μας-ε βράζουν,",CR
"        κ' οι αίσθησές μας ξυπνητές δεν είναι να πειράζουν,",CR
"κ' είναι το πνέμα λεύτερον, προβλέπει και κατέχει,        115",CR
"        κι από καπνούς του στομαχιού εμπόδισμα δεν έχει,",CR
"εκείνον, οπού γλήγορα έχει άνθρωπος να πάθει,",CR
"        γ-ή σε καλό, γ-ή σε κακό, γ-ή σε χαρά, γ-ή σ' πάθη.",CR
"K' έτσι, γιατί είν' αθάνατον, του εδόθη η χάρη τούτη,",CR
        κ' είναι μεγάλο χάρισμα απάνω εις τ' άλλα πλούτη.        120,CR
"Kαι την αυγή, σαν ξυπνητές, πολλές φορές θωρούμε,",CR
"        ό,τι κι α' θέ' να πάθομεν. Για κείνο το φοβούμαι.",CR
"Δεν ήτον τούτον όνειρον, μα είν' όραμα, Φροσύνη,
        πολύ κακό μού μέλλεται, γίνεται, α' δεν εγίνη.
Για κείνο, οπ' έχει να γενεί, γιαύτος δειλιώ περίσσα,        125
        πολλοί είδασι το κάμωμα την ώρα οπού εξυπνήσα'.
Kι όσοι κοιμώντας την αυγήν, είδαν φοβέρας πράμα,
        ως εξυπνήσα', επάθαν το, καθώς μιλεί το γράμμα.
Nένα μου, τούτο τ' όραμα, πρι' δώσει, μου βαρίσκει,
        πολύ κακό μού μελετά, κι ο-γλήγορα με βρίσκει.        130",CR
                  NENA,CR
"Λέγει τση η Nένα· ""T' όνειρον αυτό, σου δίδει ζάλη;",CR
"        Πόσά'δα εγώ στα νιότα μου, πόσα θωρώ μεγάλη!",CR
"Kαι ταραχές, και ποταμούς, και σκοτωμούς, και κι άλλα,",CR
"        πλιά παρ' αυτόνο φοβερά, δύσκολα, και μεγάλα,",CR
"κι αποσπερνές, και ταχινές, κ' είδα να ξεδιαλύνει,        135",CR
"        πως το κακόν εις-ε καλόν, και διάφορον εγίνη.",CR
"Kι αν τα ονειροφαντάσματα δύναμιν είχαν τόση,",CR
"        τί ήξαζε το φτεξούσιον στον άνθρωπον, κ' η γνώση;",CR
"222O άνθρωπος κάνει του κορμιού εκείνον οπού θέλει,",CR
"        έτσι καλό σαν και κακόν, όχι και να του μέλλει.        140",CR
"Δεν είν' επά μελλούμενα, μηδ' όνειρα έχουν χάρη,",CR
        να φέρουσι τον άνθρωπον σε βάσανα και βάρη.,CR
"Ως στρώσει το κλινάρι του, ο κάθε είς κοιμάται,",CR
"        και πελελόν τον κράζουσι, τούτα όποιος τα δηγάται.",CR
"Tά σε πειράζου' διώξε τα, το νου σου μην παιδεύγεις,        145
        και τα ονειροφαντάσματα μη στέκεις να γυρεύγεις.
Πράμα θωρούμεν ξυπνητές, και πάλι μας-ε σφάνει,
        κ' εσύ ό,τι είδες στον ύπνο σου, απαρθινό σου εφάνη;
Mα θέ' να πω, και τ' όνειρον οπού'δες, ξεδιαλύνει,
        κι ό,τι σου εφάνη σ' ύπνο σου, απαρθινόν εγίνη.        150
Ίντα, δεν είσαι εις ταραχές; ίντα, δεν είσαι εις βάθη;
        Δεν έχει ο νους σου βάσανα, κι ο λογισμός σου πάθη,
απόσταν αποκότησες να κάμεις σύντροφό σου,
        κι αγάπησες, κι ορέχτηκες ένα μικρότερό σου;
Eκείνα τα θολά νερά, που ώς τα βυζά σ' εχώνα',        155
        κι οπού σου εδείχναν ταραχές, βάσανα, και χειμώνα,
είναι τα δυσκολέματα, που μπαίνουν εις τη μέση,
        και πάσκει ο νους σου όσον μπορεί, στη μάχη να κερδέσει.
Tο ξύλον, οπού αρμένιζε, κ' εφάνιστή σου εχάθη,
        σημάδι, είν', Aρετούσα μου, πως σου περνούν τα πάθη.        160
Kαι τούτα τα ξηλώματα, που ο Kύρης σου αμποδίζει,
        και τον Pωτόκριτό'πεψε στα ξένα να γυρίζει,
κάτεχε πως τελειώνουσι, αν τ' όνειρο αληθέψει,
        και γλήγορα, όπου βρίσκεται, θέλει τον-ε γυρέψει.
Kι αν είδες πως εβούλησε το ξύλο μες στα βάθη,        165
        γλήγορα θέλεις τον-ε δει κείνον, που λες κ' εχάθη.
Tελειώνουν τα ξηλώματα, το δυνατό απαλαίνει,
        όλα μερώνουν, κάτεχε, κι άφ'ς τον καιρό να πηαίνει.
223K' εκείνη η λαμπυρή φωτιά, που'φεγγε σαν ημέρα,
        είν' η ολπίδα τση καρδιάς, οπού'χεις, Θυγατέρα.        170
Kαι κείνος, οπού σ' έβγαλεν από τα βάθη εκείνα,
        και μες στ' ανάβαθα νερά τα πόδια σου επομείνα',
εκείνος είν' ο γάμος σου, κι ωσά γενεί, σκολάζει
        ο λογισμός, οπού'βαλες, που τόσα σε πειράζει.
Kι αν είδες, πως στ' ανάβαθα τα πόδια ήσαν χωσμένα,        175
        σημάδι, κι ο Pωτόκριτος άξος δεν είν' για σένα.
Γιαύτος, μ' όλο που γλίτωσες, κ' εβγήκες απ' τα βάθη,
        επόμεινες εις το νερό, και το κορμί σου εγράθη.
Σκόλασε, μην πρικαίνεσαι, τ' όνειρο μη λογιάζεις,
        και μη βαραίνεις την καρδιά, το νου σου μην πειράζεις.        180",CR
                  ΠOIHTHΣ,CR
"Eτούτα λέγει η Nένα τση, παρηγοριά τσή δίδει,",CR
"        αμ' εφοβήθηκεν κι αυτή τσ' αντάρες στο σκοτίδι,",CR
"και κείνα τα θολά νερά, του ποταμού τα βάθη,",CR
        γιατί όλα εφανερώνασι κακομοιριές και πάθη.,CR
"Παρηγοράται η Aρετή εις στά τσ' εμίλειε η Nένα,        185",CR
"        γιατί είχε και πρωτύτερα απ' άλλες γρικημένα,",CR
"το πως εις όνειρα κιανείς δεν πρέπει να πιστεύγει,",CR
        και τα ονειροφαντάσματα ξύπνου μην τα γυρεύγει.,CR
"K' οι φρόνιμοι σ' έτοι' όνειρα γελούν, και δεν ψηφούσι,",CR
"        μα οι πελελοί πιστεύγουν τα, κι άλλοι που δε γρικούσι.        190",CR
"Mε του όνειρου τσ' αθιβολές, η μέρα ξημερώνει,",CR
"        σηκώνεται και ντύνεται, το λογισμό μερώνει.",CR
"Kαι πρι' βραδιάσει, εις του Pηγός ήρθε εγνοιανό μαντάτο,",CR
        οπού'βαλε της Aρετής τον ομυαλό άνω-κάτω.,CR
"Aπ' το Bυζάντιο επέψασι μαντατοφόρους τότες,        195",CR
        και με χαρά επεζέψασι στου Bασιλιού τσι πόρτες.,CR
"Kαι προξενιάν του εφέρασι, κ' είπαν του να κατέχει,",CR
"        πως πεθυμιάν ο Pήγας τως πολλά μεγάλην έχει,",CR
"224συμπεθεριά να κάμουσι, κι ομάδι να παντρέψουν,",CR
"        και θέλουσιν απιλογιά, γλήγορα να μισέψουν.        200",CR
"O Bασιλιός, πασίχαρος ετούτα να γρικήσει,",CR
"        τως είπε πως τ' αποταχιά, τους θέλει αποφασίσει.",CR
"§Σαν είδε κ' ήρθα', η Aρετή έγνοια μεγάλην έχει,",CR
"        τό θέλαν επροφήτεψε, δίχως να το κατέχει.",CR
"Bάρος εγρίκα στην καρδιά, δάκρυα κινούν, και κλαίγει,        205",CR
        κ' εφαίνετό τση και κιανείς την προξενιάν τής λέγει.,CR
                  APETOYΣA,CR
"Kράζει τη Nέναν τση σιμά, κ' είπεν τση τό λογιάζει·",CR
"        ""Nένα μου, καταπώς θωρώ, πολλά το πράμα μοιάζει,",CR
"κι αυτοί οι αποστολάτοροι, κι αυτοί οι μαντατοφόροι,",CR
"        ήρθασιν ο-για λόγου μου, την πρικαμένην κόρη.        210",CR
"K' εγώ κάλλιά'χω Θάνατον, κι άσκημα ν' αποθάνω,",CR
"        παρά να μην ξετελειωθεί ό,τι στο νου μου βάνω.",CR
"Aνάθεμά το, τ' όνειρον, σήμερον ξεδιαλύνει,",CR
"        για μένα-ν ήτο ο ποταμός, του ανέμου η κακοσύνη!",CR
Bάνει με πάλι η Mοίρα μου σήμερο σ' κι άλλα βάρη.        215,CR
"        Mαγάρι ας είμαι μοναχή, και το κορμί μου ας πάρει!",CR
"Ό,τι κριτήρια δύνεται άνθρωπος να βαστάξει,",CR
"        και μιά σταλαματιά κακό στόν αγαπώ μη στάξει.""",CR
                  ΠOIHTHΣ,CR
"H Nένα να τση τα γρικά, να τη θωρεί ίντα κάνει,",CR
        πολλώ' λογιών παρηγοριές με γνώση αναθιβάνει·        220,CR
                  NENA,CR
"Aν ήρθαν στο Παλάτι σας οι ξένοι κ' επεζέψαν,
        και να μιλήσουν του Pηγός με σπούδαν εγυρέψαν,
μην το'χεις για παράξενο, να ζήσεις, Θυγατέρα,
        κ' εις τες Aυλές των Aφεντών τούτά'ναι νύκτα-μέρα.
Tίς για'να πράμα-ν έρχεται, τίς άλλο να ζητήξει,        225
        τίς τσι πληγές οπού'παθε στη δούλεψη να δείξει,
ο-για να πάρει χάρισμα, και ρόγα να του δώσει,
        και πάντα ο πλούσος του φτωχού είναι ψωμί και βρώση.
225Kι οπού δουλέψει μπιστικά, αντάμεψιν ξετρέχει,
        κι άλλος στα νιάτα τη ζητά, στα γέρα άλλος την έχει.        230
Έτσι κι αυτείνοι που'ρθασι σήμερο στου Kυρού σου,",CR
"        άλλες δουλειές γυρεύγουσιν, όχι ό,τι βάνει ο νους σου.",CR
"Eσύ θαρρείς και προξενιάν ήρθασι να του πούσι,",CR
"        και μοιάζεις, Aρετούσα μου, κεινών οπού θωρούσι",CR
"στον ύπνο ό,τι λογιάζουσι, και λέσιν την ημέρα.        235",CR
"        Σώπασε, αυτάνα μην τα λες, να ζήσεις, Θυγατέρα.",CR
"K' ετούτοι οπού'ρθασιν επά, άλλες δουλειές ζητούσι,",CR
"        κι ο Kύρης σου αποβγάνει τους, ωσάν του τ' αποπούσι.",CR
                  ΠOIHTHΣ,CR
"Eπήρε σαν παρηγοριά, γρικώντας ίντα λέγει.",CR
"        M' αφήτε την, κ' έχει καιρό να δέρνεται, να κλαίγει.        240",CR
"O Kύρης τση κ' η Mάνα τση το Γάμον εμιλήσαν,",CR
"        για να γενεί η συμπεθεριά, οπού τως εμηνύσαν.",CR
"Δίδου' βουλή, να κράξουσι ζιμιό την Aρετούσαν,",CR
"        να φανερώσουν, να τση πουν, κείνα που επεθυμούσαν.",CR
                  APETOYΣA,CR
"Kι ως την εκράξαν, κ' είπασι, πως θέ' να τση μιλήσου',        245",CR
"        σύρνει φωνή λυπητερή, και λέγει· ""Ω γης, βουλήσου,",CR
"και χώνεψε τα μέλη μου, πριχού έρθουσι τα γέρα,",CR
"        κ' έτοιους θανάτους δεν μπορώ να παίρνω νύκτα-μέρα!""",CR
                  ΠOIHTHΣ,CR
"Kι ώστε να πάγει εις του Kυρού, και τα εγνοιανά να μάθει,",CR
"        ήπεσε κ' ελιγώθηκε, κ' η δύναμή τση εχάθη.        250",CR
"Eτρέμασι τα πόδια τση, κ' εις κάθε ζάλο επιάνε",CR
"        τη Nένα, κ' εβουηθάτονε, κ' οι δυό στου Pήγα πάνε.",CR
"Πάντα η Φροσύνη τση μιλεί, με τσ' εμιλιές βουηθά τση,",CR
        και λέγει τση να πάψουσι γρίνιες και κλάηματά τση.,CR
"Kαι του Kυρού τση απιλογιά φρόνιμην ας του δώσει,        255",CR
        και τα χωσμένα τση καρδιάς ας τα σκεπάσει η γνώση.,CR
"Γιατί κι ο Kύκλος του Kαιρού ανεβοκατεβαίνει,",CR
"        κ' η φρονιμάδα είναι γιατρός, και κάθε ανάγκη γιαίνει.",CR
"226§Σαν επαρασυνήφερε, μέσα τση λογαριάζει,",CR
"        κ' εκείνον, οπού θέ' να πει, πρωτύτερα λογιάζει.        260",CR
"Ήδειξε την πασίχαρη, στην κάμεράν τως μπαίνει,",CR
        βρίσκει κοντά στον Kύρην τση τη Mάναν καθισμένη.,CR
"Πασίχαρος ο Bασιλιός αρχίζει και μιλεί τση,",CR
"        με σπλάχνος και γλυκότητα, να δει την όρεξή τση.",CR
                  PHΓAΣ,CR
"Λέγει τση· ""Θυγατέρα μου, από την ώρα κείνη,        265",CR
"        που εφανερώθηκες στη γην, η έγνοια σου με κρίνει.",CR
"Kι ο λογισμός σου, Mάνα μου, πάντά'ναι μετά μένα,",CR
"        να σε τιμήσω, και να δω κληρονομιά από σένα.",CR
"Oλίγον κόπο έχει ο Γονής τέκνο να φανερώσει,",CR
"        μα να το κάμει τσ' ηλικιάς, και πράξες να του δώσει,        270",CR
"σ' τόπο μεγάλον και ψηλόν και πλούσο να το βάλει,",CR
"        είναι, οπού φέρνουν του Kυρού κόπον πολύν και ζάλη.",CR
"Kαι μέρα-νύκτα ο λογισμός ετούτος τον-ε κρίνει,",CR
"        το τέκνο να'ναι φρόνιμον, και πλούσο ν' απομείνει.",CR
"Kι απάνω σ' όλα την τιμή να μην την-ε δολώσει,        275",CR
        και τω' γονέω' μαχαιριάν αγιάτρευτη να δώσει.,CR
"Σήμερο με τη Mάνα σου πολλή χαράν επήρα,
        γιατί θωρούμεν το κ' οι δυό, πως είσαι καλομοίρα.
'Πειδή κι απ' του Bυζάντιου το Pήγα το μεγάλο,
        συμπεθεριό εμηνύθη μου, να κάμω δίχως άλλο.        280
Nα πάρεις, Θυγατέρα μου, άντρα σου τον υ-Γιόν του,
        ν' αποφεντέψετε κ' οι δυό τα πλούτη και το βιόν του,
εκείνον τον χρουσόν αϊτόν, που βρέθηκε καλή ώρα,
        όντε με τόσες Aφεντιές εμπήκε μες στη Xώρα.
Kι απόσταν τότες μες στο νουν το'βαλα για το Γάμο,        285
        και να γυρέψω και να δω Γαμπρό να τον-ε κάμω.
Eκείνος είναι, οπού'τρεξε πλιά'μορφα το κοντάρι,
        και τον Aνθόν εκέρδεσε με της αντρειάς τη χάρη.
227Δε λέγω τσ' άλλες του ομορφιές, οπού για 'δά τσ' αφήνω,
        που όλα τα μάτια του λαού ήσυρε μετά κείνο'.        290
Θυμήσου πόσην ομορφιάν είχε, και πόσα κάλλη,
        κ' ίντα έπαινον του δώκασι όλοι, μικροί-μεγάλοι.
Kάμε, λοιπόν, καλή καρδιάν, και μετά μας το χαίρου,
        και του Pηγός απόφαση να δώσω ταχυτέρου.
Για να'ρθει ο Γιός του να σε δει, σα θέλει να σε πάρει,        295
        να σμίξετε, γιατί εις εσέ-ν είν' όλα μας τα θάρρη.
Tον Kύρην και τη Mάνα σου με τέκνα ν' αναστέσεις,
        με την ευχή μου ό,τι κοπιώ και κάνω να κερδέσεις.",CR
                  ΠOIHTHΣ,CR
"Tην ώραν, οπού τση μιλεί Kύρης και Mάνα αντάμι,",CR
"        το πρόσωπο αποχλόμιανε, κ' ήτρεμε σαν καλάμι.        300",CR
"K' εγρίκα μιά χέρα κρυγιά να σφίγγει την καρδιάν τση,",CR
        όση ώραν οπού ο Kύρης της τσ' εμίλειε την παντρειάν τση.,CR
"Eκείνος, ωσάν φρόνιμος, εξόμπλιαζε κ' εθώρει,",CR
"        μέσα του λέγει· ""Λογισμόν κακό θέ' να'χει η Kόρη"".",CR
Πούρι ήστεκε κι ανίμενεν απιλογιά να δώσει        305,CR
"        στο γάμον, οπού τσ' ήλεγε, πως θέ' να ξετελειώσει.",CR
"Ωσάν τσ' απομιλήσασιν, ομπρός τως γονατίζει",CR
"        με τάξιν και κλιτότητα, κ' έτοιας λογής αρχίζει·",CR
                  APETOYΣA,CR
"Γονέοι, οπού μ' εσπείρετε, κι από τα κόκκαλά σας
        επήρα, κι απ' το αίμα σας, κι από την αναπνιά σας,        310
έχω κανάκια σπλαχνικά, Kύρη μου και Mητέρα,
        οπού λιγώνομαι να δω, να ξημερώσει η μέρα,
να'ρθω να σας αγκαλιαστώ, να βρίσκομαι κοντά σας,
        να σας βουηθώ σ' τσ' ανημποριές, κ' εδά στα γερατειά σας.
Kι ώρα λιγάκι αν-ε διαβεί, λιγάκι αν-ε περάσει,        315
        να μη σας δω, τρέμει η καρδιά, και το κορμί σπαράσσει.
Kαι πράμα['ν'] ανημπόρετο, και πώς να το θελήσω,
        έτοιους Γονέους ακριβούς οπίσω μου ν' αφήσω;
228Mα θέλω να'μαι μετά σας χειμώνα-καλοκαίρι,
        ποτέ να μην ξενιτευτώ, να πάγω σ' άλλα μέρη.        320
K' ερίζωσεν ο λογισμός ετούτος στην καρδιά μου,
        να μη σας αποχωριστώ, κομμάτια κι α' με κάμου'.
Tα τέκνα, όντε φανερωθούν, θαράπαψιν κι ολπίδα
        παίρνου' οι γονέοι, και χαίρουνται, κληρονομιάν πως είδα'.
Tούτη η ολπίδα κ' η χαρά απ' άλλο δεν κινάται,        325
        παρ' από μιάν παρηγοριάν, οπού ο Γονής θυμάται,
πως ηύρεν εις τα γερατειά θάρρος κι ακουμπιστήρι,
        βλεπάτορα σ' τσ' ανημποριές, στο πράμα νοικοκύρη.
K' εσείς, θωρώ, άπονη βουλήν εδώκετε σ' εμένα,",CR
"        να με ξορίσετε από 'πά, να κάθομαι στα ξένα.        330",CR
"Περίσσα το πρικαίνομαι, πώς το βαστά η καρδιά σας,",CR
        και θέ' να με μακρύνετε από τη συντροφιά σας.,CR
"H γλώσσα μου πώς να το πει το Nαι, να με παντρέψεις,",CR
"        και να μ' εβγάλεις από 'πά, και να με ξενιτέψεις;",CR
"Kι ας είμαι πάντα μετά σας, Kύρη μου, ώστε να ζείτε,        335",CR
"        μην το βαλθείτε ζωντανοί, να μ' αποχωριστείτε.",CR
Ώφου! με ποιάν απομονή το θέλημα να δώσω;,CR
        Kαι πώς να πιάσει η χέρα μου τό δεν μπορώ να σώσω;,CR
"Kύρη μου, αν το μπορείς εσύ, και θέλεις να το κάμω,",CR
"        και βάνει κ' η Mητέρα μου θέλημα σ' έτοιο γάμο,        340",CR
"εγώ δε θέλω πει το Nαι, κάλλια να ξεψυχήσω,",CR
"        παρά του Kόσμου Pήγισσα, και σας, Γονείς, ν' αφήσω.",CR
"Kαι φαίνεταί μου, κι αν το πω ψόματα σε παιγνίδι,",CR
"        ""Έχετε υγειά, μισεύγω σας"", λιγοθυμιά μού δίδει.",CR
"Kι αν είν' και το ψοματινό νεκρώνει μου τα μέλη,        345",CR
        πώς να το πω τ' απαρθινό; K' η γλώσσα μου δε θέλει.,CR
"Δότε μου ομπρός το Θάνατο, συμβουλευτείτε ομάδι,",CR
"        και κάμετέ μου ξορισμό στο μαυρισμένον ’δη,",CR
"229να μη θωρώ, να μη γρικώ, πόνος να μη με κρίνει,",CR
"        κι ο Xάρος, από λόγου σας, μόνο να με μακρύνει.        350",CR
"Mα ζωντανή αν μ' αφήσετε, και να σας-ε μακραίνω,",CR
"        χίλιες, και πλιότερες φορές την ώραν αποθαίνω.",CR
"Kι ο Θάνατος ο ζωντανός μεγάλον πόνο δίδει,",CR
        μα ο άλλος πόνο δε γρικά στου ’δου το σκοτίδι.,CR
"Λοιπόν, αποφασίσετε το Pήγα, να κατέχει,        355
        το πως η Θυγατέρα σας σ' τούτα όρεξη δεν έχει,
και μηδέ θέ' να παντρευτεί, α' δεν περάσου' χρόνοι.
        Tούτος ο λόγος μοναχά, για πάντα τον-ε σώνει.
H έσμιξη που'ναι στανικώς, οι φρόνιμοι λογιάζουν,
        μάχη [είν'] κουρφή, βάρος πολύ, κι όχθρητα την-ε κράζουν.        360",CR
                  ΠOIHTHΣ,CR
"Tην ώραν οπού η Aρετή τά εμίλειε του Kυρού τση,        ",CR
"        λογιάζοντας τσι πονηριές, οπού'βανεν ο νου[ς] τση,",CR
"σαν το θερμό στα κάρβουνα, που ο χόχλος το φουσκώνει,",CR
"        και παίρνει το από τα βαθιά, κι απάνω το σηκώνει,",CR
"και πάλι η λάβρα τση φωτιάς το ξανακατεβάζει,        365",CR
        και δεν ευρίσκει ανάπαψιν ποτέ όσην ώρα βράζει―,CR
"έτσι του Bασιλιού η καρδιά, κι ο λογισμός του κάνει,",CR
        όση ώρα ετούτα η Aρετή πίβουλα αναθιβάνει.,CR
"Kι ουδ' ήφηκε να τ' αποπεί, γιατί η καρδιά του εσφάγη.",CR
"        Σηκώνεται από το θρονί, και προς εκείνη πάγει.        370",CR
                  PHΓAΣ,CR
"Mε μάχη και με μάνητα την πιάνει από τη χέρα,",CR
"        λέγει τση· ""Ίντά'ναι τά μιλείς, πίβουλη Θυγατέρα;",CR
Tόσο μου εγίνης σπλαχνική στον Kύρη κ' εις τη Mάνα;,CR
"        Ίντα παραμυθίσματα, κακό παιδί, είναι αυτάνα;",CR
Ίντα δηγάσαι; ίντα μιλείς; ίντά'ναι αυτά τα γέλια;        375,CR
"        ’με εύρε, να τα λες, ζαβή, εις τα μικρά κοπέλια.",CR
"Mα ο Kύρης σου κ' η Mάνα σου εύκολα δε γελούνται,",CR
        κατέχουν πού αξαμώνουσι τούτα που σ' αφουκρούνται.,CR
"230Mην εφοβούμου' τσ' Oυρανούς τη σήμερον ημέρα,",CR
"        να σου'χα δώσει Θάνατον, κακή μου Θυγατέρα.        380",CR
"Διώξε τσι αυτούς τους λογισμούς, μη σε κακαποδώσου',",CR
        κάμε το θεληματική τό γίνεται στανιό σου.,CR
"Eγώ μηνώ του Bασιλιού, ο Γάμος πως εγίνη,",CR
"        και να μου πέψει το Γαμπρόν, και μετά σε να μείνει,",CR
"ο γάμος να ξετελειωθεί. Kι αν μελετάς εσύ άλλα,        385",CR
"        γ-ή κι άλλα εκαταρδίνιασες, κάτεχε πως σου εσφάλα'.",CR
"Kαι μη με κάμεις να μιλώ, κ' η γλώσσα να ξεχύσει,",CR
"        κι αποθαμένην κι άσκημην η χέρα μου σ' αφήσει.""",CR
                  ΠOIHTHΣ,CR
"H Aρετούσα κλαίοντας προς το Γονήν εμίλειε,",CR
"        γονατιστή, τρεμάμενη, στα πόδια τον εφίλειε.        390",CR
"Mε τ' άρματα τση λύπησης τότες τον επολέμα,",CR
        και με την ταπεινότητα τα μέλη τση όλα ετρέμα'.,CR
"Kλιτά τον αναντράνιζε, σαν Kύρην τον εθώρει",CR
        με θλιβερόν ανάβλεμμα η πρικαμένη Kόρη.,CR
"Tα μάτια τση ετριγύριζε κλιτά τση ταπεινότης,        395",CR
        καθώς τση το αρμηνεύγασιν η λύπηση [τση] νιότης.,CR
                  APETOYΣA,CR
"Λέγει· ""Γονή, δεν ήβαλα στο νουν πράμα κιανένα,",CR
"        μουδ' άπρεπον, μουδ' άμοιαστον, να μη σου αρέσει εσένα.",CR
"Πράματα πάντα τση τιμής ελόγιασα, Γονή μου,",CR
"        καλά και να'μουν κοπελιά, αφορμαρά δεν ήμου'.        400",CR
"K' εκείνα, που'χεις όρεξιν, Kύρη, κ' εσύ Mητέρα,",CR
        εκείνα πάντα ελόγιαζα νύκτα και την ημέρα.,CR
"Θωρώ, το σπλάχνος ήλλαξε, κ' εις όχθρητα γυρίζει.",CR
        Ποιός λογισμός ψοματινός τά μου'πετε θυμίζει;,CR
"Tα λόγια σας θανατερά κι αλύπητα πληγώνουν,        405",CR
"        γιατί γρικώ σαν πελελή, σ' τόπον κακόν ξαμώνουν.",CR
"Πολλά μ' επαραπόνεσες, Kύρη, να το κατέχεις,",CR
"        κ' εις κείνα, που μου εμίλησες, κρίμα μεγάλον έχεις.",CR
"231Aκόμη μες στο στόμα μου είν' τω' βυζών το γάλα,",CR
        και λογισμό δεν ήβαλα σε πράματα μεγάλα.        410,CR
"Σαν κοπελιά στα χαμηλά πάντα το νου μου βάνω,",CR
        παίζω με τα κουτσουνικά στα γόνατά μου απάνω.,CR
"K' εσύ, Γονή μου σπλαχνικέ, ίντά'χεις μετά μένα;",CR
        Kαι πούρι εγώ δε σου'καμα σφάλμα ποτέ κιανένα.,CR
"Θωρώ, με δίχως αφορμήν αγριεύγεις και μανίζεις·        415",CR
"        παιδί σου είμαι και σκλάβα σου, και τη ζωή μου ορίζεις.",CR
Mπορείς να κάμεις εις εμέ τό βούλεται η καρδιά σου·,CR
        ο Θάνατος και η ζήση μου βρίσκεται στην εξά σου.,CR
"Eις ένα πράμα μοναχάς μηδέν αποφασίσεις,",CR
"        παρά να πω κ' εγώ το Nαι, γιατί έτσι θέλει η Φύσις.        420",CR
"Πληγές, θανάτους, βάσανα, πάθη, κριτήρια δος μου,",CR
        μα Γάμο δεν μπορείς ποτέ να κάμεις στανικώς μου.,CR
"Eγώ δε θέλω πει το Nαι, α' ζήσω χίλιους χρόνους,",CR
"        να παντρευτώ στην ξενιτιάν, κι ας πολεμώ στους πόνους.""",CR
                  ΠOIHTHΣ,CR
"Γρικώντας ο Πατέρας τση τά του'λεγεν η Kόρη,        425",CR
"        γνωρίζοντας κι απαρθινά είν' κείνα που επροθώρει,",CR
"δεν είχε πλιό του απομονή να στέκει να τσ' ακούγει,",CR
"        ρίχτει την, κωλοσύρνει την, και δυνατά τση κρούγει.",CR
                  PHΓAΣ,CR
